#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	3         	ok              	1.0000000000e+02	8.0000000000e+02	1.6900674362e+21	9.0537039645e+20	2.3145304503e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	3         	ok              	6.5512855700e+01	8.0000000000e+02	1.1072107606e+21	5.9313400137e+20	2.3145290285e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	3         	ok              	4.2919342600e+01	8.0000000000e+02	7.2536438636e+20	3.8857902225e+20	2.3145258339e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	3         	ok              	2.8117687000e+01	8.0000000000e+02	4.7520550869e+20	2.5456921426e+20	2.3145189406e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	3         	ok              	1.8420699700e+01	8.0000000000e+02	3.1131885570e+20	1.6677556190e+20	2.3145052364e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	3         	ok              	1.2067926400e+01	8.0000000000e+02	2.0395178700e+20	1.0925943309e+20	2.3144815701e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	7.9060432100e+00	8.0000000000e+02	1.3361269762e+20	7.1578974753e+19	2.3144479251e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	3         	ok              	5.1794746800e+00	8.0000000000e+02	8.7532027076e+19	4.6893430444e+19	2.3144091440e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	3         	ok              	3.3932217700e+00	8.0000000000e+02	5.7343805988e+19	3.0721225391e+19	2.3143718296e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	3         	ok              	2.2229964800e+00	8.0000000000e+02	3.7567054351e+19	2.0126352044e+19	2.3143403807e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	3         	ok              	1.4563484800e+00	8.0000000000e+02	2.4610992212e+19	1.3185348007e+19	2.3143161231e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	3         	ok              	9.5409547600e-01	8.0000000000e+02	1.6123240551e+19	8.6380979935e+18	2.3142984354e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	3         	ok              	6.2505519300e-01	8.0000000000e+02	1.0562738332e+19	5.6590646789e+18	2.3142859482e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	3         	ok              	4.0949150600e-01	8.0000000000e+02	6.9199253773e+18	3.7074148713e+18	2.3142772082e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	3         	ok              	2.6826958000e-01	8.0000000000e+02	4.5334283548e+18	2.4288333600e+18	2.3142708874e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	3         	ok              	1.7575106200e-01	8.0000000000e+02	2.9699717001e+18	1.5911980868e+18	2.3142656961e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	3         	ok              	1.1513954000e-01	8.0000000000e+02	1.9457085192e+18	1.0424393098e+18	2.3142600334e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	3         	ok              	7.5431200600e-02	8.0000000000e+02	1.2746843598e+18	6.8293175992e+17	2.3142512231e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	4         	ok              	4.9417133600e-02	8.0000000000e+02	8.3507588797e+17	4.4740809839e+17	2.3142339357e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
