#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	9         	ok              	1.0000000000e+02	1.9018718310e+03	7.1052933962e+20	3.8083340074e+20	2.3133009533e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	10        	ok              	6.5512855700e+01	1.8231143065e+03	4.8558011109e+20	2.6027287451e+20	2.3132210598e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	10        	ok              	4.2919342600e+01	1.7476181730e+03	3.3184915832e+20	1.7787822455e+20	2.3131462451e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	10        	ok              	2.8117687000e+01	1.6752483746e+03	2.2678905725e+20	1.2156726996e+20	2.3130796585e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	10        	ok              	1.8420699700e+01	1.6058754480e+03	1.5499061306e+20	8.3082688440e+19	2.3130233290e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	10        	ok              	1.2067926400e+01	1.5393752913e+03	1.0592314257e+20	5.6781180631e+19	2.3129785078e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	10        	ok              	7.9060432100e+00	1.4756289414e+03	7.2390007947e+19	3.8805947889e+19	2.3129459654e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	10        	ok              	5.1794746800e+00	1.4145223618e+03	4.9473062870e+19	2.6521139128e+19	2.3129262412e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	10        	ok              	3.3932217700e+00	1.3559462381e+03	3.3811269224e+19	1.8125335373e+19	2.3129198414e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	10        	ok              	2.2229964800e+00	1.2997957829e+03	2.3107702526e+19	1.2387393348e+19	2.3129273876e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	10        	ok              	1.4563484800e+00	1.2459705479e+03	1.5792643762e+19	8.4659131173e+18	2.3129497135e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	10        	ok              	9.5409547600e-01	1.1943742446e+03	1.0793340705e+19	5.7858568419e+18	2.3129879018e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	10        	ok              	6.2505519300e-01	1.1449145716e+03	7.3766666019e+18	3.9542266780e+18	2.3130432410e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	10        	ok              	4.0949150600e-01	1.0975030500e+03	5.0415942783e+18	2.7024361317e+18	2.3131170591e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	10        	ok              	2.6826958000e-01	1.0520548648e+03	3.4457145115e+18	1.8469252442e+18	2.3132103720e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	9         	ok              	1.7575106200e-01	1.0084887130e+03	2.3550187199e+18	1.2622436453e+18	2.3133232451e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	9         	ok              	1.1513954000e-01	9.6672665882e+02	1.6095808114e+18	8.6265485719e+17	2.3134539935e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	8         	ok              	7.5431200600e-02	9.2669399350e+02	1.1001038273e+18	5.8956398959e+17	2.3135979066e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	7         	ok              	4.9417133600e-02	8.8831910215e+02	7.5189199945e+17	4.0292556790e+17	2.3137465814e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	6         	ok              	3.2374575400e-02	8.5153333547e+02	5.1389688090e+17	2.7537131848e+17	2.3138885327e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	5         	ok              	2.1209508900e-02	8.1627088696e+02	3.5123109565e+17	1.8819695067e+17	2.3140115868e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	5         	ok              	1.3894954900e-02	7.8246867521e+02	2.4005170725e+17	1.2861939372e+17	2.3141073163e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	4         	ok              	9.1029817800e-03	7.5006623103e+02	1.6406319022e+17	8.7902319897e+16	2.3141737861e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	4         	ok              	5.9636233200e-03	7.1900558931e+02	1.1212766946e+17	6.0075060219e+16	2.3142151657e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	3.9069399400e-03	6.8923118528e+02	7.6632156938e+16	4.1057083172e+16	2.3142384867e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	3         	ok              	2.5595479200e-03	6.6068975517e+02	5.2372967521e+16	2.8059631885e+16	2.3142505095e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	3         	ok              	1.6768329400e-03	6.3333024087e+02	3.5793332396e+16	1.9176787157e+16	2.3142562235e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	3         	ok              	1.0985411400e-03	6.0710369861e+02	2.4462254599e+16	1.3105986733e+16	2.3142587409e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
