#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	9         	ok              	1.0000000000e+02	2.5178508236e+03	5.3579331484e+20	2.8766450751e+20	2.3093840575e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	8         	ok              	6.5512855700e+01	2.4651668682e+03	3.5851264929e+20	1.9248482008e+20	2.3093680482e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	7         	ok              	4.2919342600e+01	2.4135852813e+03	2.3989405281e+20	1.2879727939e+20	2.3093935393e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	6         	ok              	2.8117687000e+01	2.3630829966e+03	1.6052412731e+20	8.6182064577e+19	2.3094500772e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	6         	ok              	1.8420699700e+01	2.3136374305e+03	1.0741512171e+20	5.7666965342e+19	2.3095293291e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	5         	ok              	1.2067926400e+01	2.2652264723e+03	7.1877616770e+19	3.8586670049e+19	2.3096252651e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	5         	ok              	7.9060432100e+00	2.2178284735e+03	4.8097693281e+19	2.5819480851e+19	2.3097336274e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	5         	ok              	5.1794746800e+00	2.1714222388e+03	3.2185227155e+19	1.7276577390e+19	2.3098513042e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	5         	ok              	3.3932217700e+00	2.1259870163e+03	2.1537247800e+19	1.1560268301e+19	2.3099758835e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	5         	ok              	2.2229964800e+00	2.0815024885e+03	1.4412016454e+19	7.7353170241e+18	2.3101053523e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	5         	ok              	1.4563484800e+00	2.0379487628e+03	9.6440594488e+18	5.1759291490e+18	2.3102379335e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	4         	ok              	9.5409547600e-01	1.9953063629e+03	6.4534995598e+18	3.4633670915e+18	2.3103720038e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	4         	ok              	6.2505519300e-01	1.9535562202e+03	4.3184777619e+18	2.3174412368e+18	2.3105060577e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	4         	ok              	4.0949150600e-01	1.9126796648e+03	2.8897869327e+18	1.5506683903e+18	2.3106387026e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	4         	ok              	2.6826958000e-01	1.8726584177e+03	1.9337505644e+18	1.0375980316e+18	2.3107686605e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	4         	ok              	1.7575106200e-01	1.8334745822e+03	1.2940002443e+18	6.9428749207e+17	2.3108947801e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	4         	ok              	1.1513954000e-01	1.7951106362e+03	8.6589923025e+17	4.6456827285e+17	2.3110160481e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	4         	ok              	7.5431200600e-02	1.7575494242e+03	5.7942772445e+17	3.1085635512e+17	2.3111315994e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	4         	ok              	4.9417133600e-02	1.7207741496e+03	3.8773051443e+17	2.0800317043e+17	2.3112407249e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	4         	ok              	3.2374575400e-02	1.6847683673e+03	2.5945340774e+17	1.3918106599e+17	2.3113428745e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	4         	ok              	2.1209508900e-02	1.6495159764e+03	1.7361505937e+17	9.3130163056e+16	2.3114376574e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	4         	ok              	1.3894954900e-02	1.6150012128e+03	1.1617534620e+17	6.2316143055e+16	2.3115248374e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	4         	ok              	9.1029817800e-03	1.5812086422e+03	7.7739029543e+16	4.1697572367e+16	2.3116043248e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	4         	ok              	5.9636233200e-03	1.5481231533e+03	5.2019097831e+16	2.7901077498e+16	2.3116761649e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	3.9069399400e-03	1.5157299510e+03	3.4808484162e+16	1.8669435199e+16	2.3117405239e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	4         	ok              	2.5595479200e-03	1.4840145498e+03	2.3291960795e+16	1.2492270594e+16	2.3117976725e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	4         	ok              	1.6768329400e-03	1.4529627672e+03	1.5585678171e+16	8.3589473202e+15	2.3118479682e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	4         	ok              	1.0985411400e-03	1.4225607176e+03	1.0429035545e+16	5.5932185676e+15	2.3118918369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	4         	ok              	7.1968567300e-04	1.3927948059e+03	6.9784902393e+15	3.7425877828e+15	2.3119297547e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	4         	ok              	4.7148663600e-04	1.3636517214e+03	4.6695795636e+15	2.5042760456e+15	2.3119622302e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
