#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	2         	ok              	1.0608487000e+02	5.0837569477e+02	2.9482429686e+21	1.5114192405e+21	2.1258615759e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	2         	ok              	7.3825077500e+01	4.9903986013e+02	2.0900817718e+21	1.0714821805e+21	2.1258615756e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	2         	ok              	5.1375300700e+01	4.8797721180e+02	1.4874741851e+21	7.6255489375e+20	2.1258615754e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	2         	ok              	3.5752370500e+01	4.7529338747e+02	1.0626038289e+21	5.4482790978e+20	2.1248736447e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	2         	ok              	2.4880282500e+01	4.6098435918e+02	7.6242551758e+20	3.9091775297e+20	2.1248736447e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	3         	ok              	1.7314333200e+01	4.4493743083e+02	5.4971189524e+20	2.8185328772e+20	2.1248736433e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	1.2049145200e+01	4.2967805527e+02	3.9613331735e+20	2.0310908100e+20	2.1248736435e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	3         	ok              	8.3850701700e+00	4.1470160045e+02	2.8562702514e+20	1.4644928876e+20	2.1248736437e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	3         	ok              	5.8352190800e+00	3.9946398185e+02	2.0635160258e+20	1.0580247235e+20	2.1248736439e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	3         	ok              	4.0607628900e+00	3.8350965797e+02	1.4957521407e+20	7.6691565517e+19	2.1248736441e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	3         	ok              	2.8259085000e+00	3.6657627687e+02	1.0889853733e+20	5.5835449491e+19	2.1248736443e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	3         	ok              	1.9665661600e+00	3.4865259133e+02	7.9679017661e+19	4.0853751343e+19	2.1248736444e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	3         	ok              	1.3685448200e+00	3.2997930189e+02	5.8586915351e+19	3.0039216621e+19	2.1248736444e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	3         	ok              	9.5237829900e-01	3.1100152322e+02	4.3258881060e+19	2.2180087331e+19	2.1248736444e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	3         	ok              	6.6276559600e-01	2.9229287435e+02	3.2030965896e+19	1.6423208448e+19	2.1248736444e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	3         	ok              	4.6122243100e-01	2.7446894087e+02	2.3738076274e+19	1.2171202581e+19	2.1248736444e+00	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	3         	ok              	3.2096737200e-01	2.5810015638e+02	1.7566338339e+19	9.0071811163e+18	2.1238495167e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	3         	ok              	2.2336306000e-01	2.4363225850e+02	1.2950459680e+19	6.6403785255e+18	2.1238495167e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	3         	ok              	1.5543965200e-01	2.3132775183e+02	9.4916716054e+18	4.8668768271e+18	2.1238495356e+00	fail 	ok   	ok   	ok   	ok   	fail 	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	4         	ok              	1.0817135800e-01	2.2124445357e+02	8.6044591598e+18	3.5412465694e+18	3.7147883207e+00	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
20        	3         	ok              	7.5277076700e-02	2.1325791888e+02	8.3604797452e+20	2.5566651736e+18	1.8915757442e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
21        	3         	ok              	5.2385755400e-02	2.0711705947e+02	6.1316552267e+20	1.8319499999e+18	1.9475561046e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
22        	3         	ok              	3.6455551700e-02	2.0251034459e+02	4.9076888773e+20	1.3038653354e+18	2.2534078676e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
23        	3         	ok              	2.5369630400e-02	1.9912177619e+02	3.4896352625e+20	9.2280865599e+17	2.2631519828e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
24        	3         	ok              	1.7654873300e-02	1.9666670249e+02	2.5488579738e+20	6.5020461263e+17	2.3681569777e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
25        	3         	ok              	1.2286129000e-02	1.9490804273e+02	1.7898562984e+20	4.5656391918e+17	2.3683463980e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
26        	3         	ok              	8.5499885900e-03	1.9365871168e+02	1.2606972865e+20	3.1977519595e+17	2.3905181570e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
27        	3         	ok              	5.9499867700e-03	1.9277653843e+02	8.8752749905e+19	2.2355176308e+17	2.4181767894e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
28        	3         	ok              	4.1406303900e-03	1.9215630263e+02	6.1966389392e+19	1.5607311866e+17	2.4183150628e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
29        	3         	ok              	2.8814887600e-03	1.9172156160e+02	4.3227144006e+19	1.0885847577e+17	2.4186908590e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
30        	3         	ok              	2.0052447800e-03	1.9141749630e+02	3.0135602042e+19	7.5875582808e+16	2.4191650833e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
31        	3         	ok              	1.3954615000e-03	1.9120515016e+02	2.0997020904e+19	5.2860899633e+16	2.4194222664e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
32        	3         	ok              	9.7110977400e-04	1.9105701423e+02	1.4622843290e+19	3.6814729661e+16	2.4193489053e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
33        	3         	ok              	6.7580093800e-04	1.9095374906e+02	1.0180494437e+19	2.5633439141e+16	2.4190751589e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
34        	3         	ok              	4.7029380200e-04	1.9088180051e+02	7.0864622335e+18	1.7845183137e+16	2.4187713096e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
35        	3         	ok              	3.2728019100e-04	1.9083168950e+02	4.9323210603e+18	1.2421827718e+16	2.4185293336e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
36        	3         	ok              	2.2775618800e-04	1.9079679679e+02	3.4328331789e+18	8.6460030228e+15	2.4183674607e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
37        	3         	ok              	1.5849685500e-04	1.9077250497e+02	2.3891384004e+18	6.0175698996e+15	2.4182701232e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
38        	3         	ok              	1.1029888300e-04	1.9075559542e+02	1.6627258411e+18	4.1880330990e+15	2.4182155059e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
39        	3         	ok              	7.6757634000e-05	1.9074382567e+02	1.1571582402e+18	2.9146564207e+15	2.4181862441e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
40        	3         	ok              	5.3416083800e-05	1.9073563391e+02	8.0530276829e+17	2.0284134632e+15	2.4181710509e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
41        	3         	ok              	3.7172563300e-05	1.9072993269e+02	5.6042987484e+17	1.4116269176e+15	2.4181633300e+03	fail 	fail 	ok   	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	fail 	ok   	fail 	ok   
