#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	4         	ok              	1.0000000000e+02	1.5066572128e+03	8.9728964359e+20	4.8073066056e+20	2.3142804564e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	4         	ok              	6.5512855700e+01	1.4910023139e+03	5.9399537990e+20	3.1824712589e+20	2.3142151454e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	5         	ok              	4.2919342600e+01	1.4733492331e+03	3.9379078072e+20	2.1099085730e+20	2.3141263210e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	6         	ok              	2.8117687000e+01	1.4542819337e+03	2.6135212069e+20	1.4003843869e+20	2.3140030294e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	7         	ok              	1.8420699700e+01	1.4342286874e+03	1.7360089970e+20	9.3025924455e+19	2.3138389695e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	8         	ok              	1.2067926400e+01	1.4184107606e+03	1.1498791896e+20	6.1623578234e+19	2.3136116249e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	9         	ok              	7.9060432100e+00	1.4064994493e+03	7.5960511594e+19	4.0713261446e+19	2.3133275933e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	10        	ok              	5.1794746800e+00	1.3977963215e+03	5.0067067894e+19	2.6838491258e+19	2.3130190978e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	10        	ok              	3.3932217700e+00	1.3915025409e+03	3.2944601167e+19	1.7662188599e+19	2.3127297890e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	9         	ok              	2.2229964800e+00	1.3868692914e+03	2.1652844017e+19	1.1609660503e+19	2.3124938145e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	8         	ok              	1.4563484800e+00	1.3832484462e+03	1.4221491746e+19	7.6257294447e+18	2.3123252193e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
