#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	3         	ok              	1.0000000000e+02	8.4652891738e+02	1.5971728976e+21	8.5560729502e+20	2.3145289008e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	3         	ok              	6.5512855700e+01	8.3745193170e+02	1.0576936868e+21	5.6660828298e+20	2.3145264486e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	3         	ok              	4.2919342600e+01	8.2613822520e+02	7.0241346724e+20	3.7628475274e+20	2.3145222685e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	3         	ok              	2.8117687000e+01	8.1303836542e+02	4.6758416180e+20	2.5048679136e+20	2.3145156265e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	3         	ok              	1.8420699700e+01	7.9859510975e+02	3.1186661059e+20	1.6706895383e+20	2.3145058456e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	3         	ok              	1.2067926400e+01	7.8475191776e+02	2.0791556416e+20	1.1138239295e+20	2.3144916147e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	7.9060432100e+00	7.7252085391e+02	1.3836682122e+20	7.4125092563e+19	2.3144716734e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	3         	ok              	5.1794746800e+00	7.6245731894e+02	9.1843467398e+19	4.9202418842e+19	2.3144455745e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	3         	ok              	3.3932217700e+00	7.5464164678e+02	6.0791629888e+19	3.2567749763e+19	2.3144147570e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	3         	ok              	2.2229964800e+00	7.4882849176e+02	4.0134945502e+19	2.1501694730e+19	2.3143825209e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	3         	ok              	1.4563484800e+00	7.4462276838e+02	2.6441715784e+19	1.4165935899e+19	2.3143525430e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	3         	ok              	9.5409547600e-01	7.4160689382e+02	1.7392979267e+19	9.3182499413e+18	2.3143273024e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	3         	ok              	6.2505519300e-01	7.3940541467e+02	1.1428466170e+19	6.1228274141e+18	2.3143076120e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	3         	ok              	4.0949150600e-01	7.3770243001e+02	7.5043513730e+18	4.0204990202e+18	2.3142930695e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	3         	ok              	2.6826958000e-01	7.3623231605e+02	4.9261097878e+18	2.6392032048e+18	2.3142827144e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	3         	ok              	1.7575106200e-01	7.3475910373e+02	3.2336957821e+18	1.7324841066e+18	2.3142754895e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	3         	ok              	1.1513954000e-01	7.3305392289e+02	2.1234097207e+18	1.1376399768e+18	2.3142704559e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	3         	ok              	7.5431200600e-02	7.3087699445e+02	1.3952475986e+18	7.4752032432e+17	2.3142668438e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	3         	ok              	4.9417133600e-02	7.2797095293e+02	9.1771435878e+17	4.9167686879e+17	2.3142640257e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	3         	ok              	3.2374575400e-02	7.2407371674e+02	6.0445621276e+17	3.2384528246e+17	2.3142614738e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	3         	ok              	2.1209508900e-02	7.1895717007e+02	3.9881421477e+17	2.1367015762e+17	2.3142587463e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	3         	ok              	1.3894954900e-02	7.1248750204e+02	2.6364668911e+17	1.4125250804e+17	2.3142555232e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	3         	ok              	9.1029817800e-03	7.0468592608e+02	1.7463439383e+17	9.3563046094e+16	2.3142516576e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	3         	ok              	5.9636233200e-03	6.9575930861e+02	1.1587561145e+17	6.2082251062e+16	2.3142471531e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	3         	ok              	3.9069399400e-03	6.8608339098e+02	7.6983867079e+16	4.1245455685e+16	2.3142420051e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
