#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	9         	ok              	1.0000000000e+02	2.3712905193e+03	5.6928941219e+20	3.0544393918e+20	2.3109297716e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	8         	ok              	6.5512855700e+01	2.3554135800e+03	3.7541491368e+20	2.0145387847e+20	2.3105801789e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	7         	ok              	4.2919342600e+01	2.3378349936e+03	2.4776149845e+20	1.3297055552e+20	2.3102739980e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	6         	ok              	2.8117687000e+01	2.3188850707e+03	1.6362215962e+20	8.7824693850e+19	2.3099928244e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	6         	ok              	1.8420699700e+01	2.2986730457e+03	1.0812349519e+20	5.8042377870e+19	2.3097237211e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	6         	ok              	1.2067926400e+01	2.2830959379e+03	7.1307368982e+19	3.8284657698e+19	2.3093768014e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	6         	ok              	7.9060432100e+00	2.2702573645e+03	4.6970938950e+19	2.5223210680e+19	2.3089473450e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	5         	ok              	5.1794746800e+00	2.2583570173e+03	3.0927362135e+19	1.6611520706e+19	2.3084402708e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	5         	ok              	3.3932217700e+00	2.2456540673e+03	2.0371030158e+19	1.0944241444e+19	2.3078760507e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	5         	ok              	2.2229964800e+00	2.2303968232e+03	1.3433571459e+19	7.2189313882e+18	2.3072982149e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	5         	ok              	1.4563484800e+00	2.2107974559e+03	8.8767395624e+18	4.7712549955e+18	2.3067790838e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	5         	ok              	9.5409547600e-01	2.1851235607e+03	5.8828073636e+18	3.1625115024e+18	2.3064161375e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	5         	ok              	6.2505519300e-01	2.1519485048e+03	3.9132295963e+18	2.1037918580e+18	2.3063101698e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	5         	ok              	4.0949150600e-01	2.1105226234e+03	2.6142323980e+18	1.4053068487e+18	2.3065250963e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	5         	ok              	2.6826958000e-01	2.0611191955e+03	1.7541076597e+18	9.4272407544e+17	2.3070489074e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	5         	ok              	1.7575106200e-01	2.0051707577e+03	1.1816079431e+18	6.3483793814e+17	2.3077867944e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	4         	ok              	1.1513954000e-01	1.9451139393e+03	7.9828674875e+17	4.2874169526e+17	2.3085982065e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	4         	ok              	7.5431200600e-02	1.8840162721e+03	5.4011703167e+17	2.8998975011e+17	2.3093532992e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	4         	ok              	4.9417133600e-02	1.8251126266e+03	3.6536393492e+17	1.9611199523e+17	2.3099717692e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	4         	ok              	3.2374575400e-02	1.7713280150e+03	2.4667702668e+17	1.3237969215e+17	2.3104282855e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	4         	ok              	2.1209508900e-02	1.7248354898e+03	1.6598321284e+17	8.9063387646e+16	2.3107348334e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	4         	ok              	1.3894954900e-02	1.6867476563e+03	1.1120460489e+17	5.9665502562e+16	2.3109184659e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	4         	ok              	9.1029817800e-03	1.6570681614e+03	7.4160983059e+16	3.9788684208e+16	2.3110059050e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	4         	ok              	5.9636233200e-03	1.6349314593e+03	4.9243042994e+16	2.6419642138e+16	2.3110168202e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	3.9069399400e-03	1.6190030827e+03	3.2577152637e+16	1.7478547386e+16	2.3109627276e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	4         	ok              	2.5595479200e-03	1.6078562272e+03	2.1489117581e+16	1.1530080244e+16	2.3108481438e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	4         	ok              	1.6768329400e-03	1.6002141253e+03	1.4144289259e+16	7.5897587938e+15	2.3106720434e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	4         	ok              	1.0985411400e-03	1.5950509243e+03	9.2953447473e+15	4.9883630036e+15	2.3104288908e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	4         	ok              	7.1968567300e-04	1.5915977625e+03	6.1020133966e+15	3.2751094200e+15	2.3101091336e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	4         	ok              	4.7148663600e-04	1.5893041874e+03	4.0026619494e+15	2.1487141150e+15	2.3096992351e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	4         	ok              	3.0888436000e-04	1.5877878671e+03	2.6241738436e+15	1.4090283029e+15	2.3091813441e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	4         	ok              	2.0235896500e-04	1.5867885027e+03	1.7197707182e+15	9.2367604661e+14	2.3085326614e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	4         	ok              	1.3257113700e-04	1.5861311995e+03	1.1267432415e+15	6.0537732516e+14	2.3077245288e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
