# wavelength_nm flux_erg_cm2_s_nm
100.00000000 1.2259038563534428e+00
100.25000000 1.2925387074838544e+00
100.50000000 1.3623944626174618e+00
100.75000000 1.4356062238289642e+00
101.00000000 1.5123138200291442e+00
101.25000000 1.5926619348736184e+00
101.50000000 1.6768002368587362e+00
101.75000000 1.7648835116058210e+00
102.00000000 1.8570717963333825e+00
102.25000000 1.9535305165162271e+00
102.50000000 2.0544306247292066e+00
102.75000000 2.1599487416722596e+00
103.00000000 2.2702672993724859e+00
103.25000000 2.3855746865576637e+00
103.50000000 2.5060653961947676e+00
103.75000000 2.6319401751859135e+00
104.00000000 2.7634061762126474e+00
104.25000000 2.9006771117192356e+00
104.50000000 3.0439734100234861e+00
104.75000000 3.1935223735432881e+00
105.00000000 3.3495583391255530e+00
105.25000000 3.5123228404631504e+00
105.50000000 3.6820647725842757e+00
105.75000000 3.8590405583978016e+00
106.00000000 4.0435143172765686e+00
106.25000000 4.2357580356598676e+00
106.50000000 4.4360517396549453e+00
106.75000000 4.6446836696161613e+00
107.00000000 4.8619504566798799e+00
107.25000000 5.0881573012310444e+00
107.50000000 5.3236181532769953e+00
107.75000000 5.5686558947030820e+00
108.00000000 5.8236025233824433e+00
108.25000000 6.0887993391126818e+00
108.50000000 6.3645971313498721e+00
108.75000000 6.6513563687093100e+00
109.00000000 6.9494473902025353e+00
109.25000000 7.2592505981773341e+00
109.50000000 7.5811566529273771e+00
109.75000000 7.9155666689370152e+00
110.00000000 8.2628924127255985e+00
110.25000000 8.6235565022538339e+00
110.50000000 8.9979926078552595e+00
110.75000000 9.3866456546537265e+00
111.00000000 9.7899720264262733e+00
111.25000000 1.0208439770871706e+01
111.50000000 1.0642528806241788e+01
111.75000000 1.1092731129293295e+01
112.00000000 1.1559551024516095e+01
112.25000000 1.2043505274592732e+01
112.50000000 1.2545123372044536e+01
112.75000000 1.3064947732016513e+01
113.00000000 1.3603533906153865e+01
113.25000000 1.4161450797522031e+01
113.50000000 1.4739280876520620e+01
113.75000000 1.5337620397740739e+01
114.00000000 1.5957079617715777e+01
114.25000000 1.6598283013512695e+01
114.50000000 1.7261869502111786e+01
114.75000000 1.7948492660521936e+01
115.00000000 1.8658820946576217e+01
115.25000000 1.9393537920354483e+01
115.50000000 2.0153342466175712e+01
115.75000000 2.0938949015105965e+01
116.00000000 2.1751087767922748e+01
116.25000000 2.2590504918480995e+01
116.50000000 2.3457962877419309e+01
116.75000000 2.4354240496151817e+01
117.00000000 2.5280133291082372e+01
117.25000000 2.6236453667983820e+01
117.50000000 2.7224031146482091e+01
117.75000000 2.8243712584582685e+01
118.00000000 2.9296362403179938e+01
118.25000000 3.0382862810486159e+01
118.50000000 3.1504114026320806e+01
118.75000000 3.2661034506192941e+01
119.00000000 3.3854561165120025e+01
119.25000000 3.5085649601113964e+01
119.50000000 3.6355274318275406e+01
119.75000000 3.7664428949430949e+01
120.00000000 3.9014126478248194e+01
120.25000000 4.0405399460765537e+01
120.50000000 4.1839300246274234e+01
120.75000000 4.3316901197482800e+01
121.00000000 4.4839294909906215e+01
121.25000000 4.6407594430407173e+01
121.50000000 4.8022933474831767e+01
121.75000000 4.9686466644670404e+01
122.00000000 5.1399369642678757e+01
122.25000000 5.3162839487395786e+01
122.50000000 5.4978094726493509e+01
